epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1324.6,1.04204,0.44965,0.00611,0.95741,0.93353,0.98586,0.63247,1.18009,0.41448,0.00941,0.000828443,0.000828443,0.000828443
43,1355.44,1.04132,0.45821,0.00618,0.955,0.95221,0.98722,0.63931,1.16028,0.3956,0.00896,0.000820525,0.000820525,0.000820525
44,1386.33,1.01656,0.43013,0.00579,0.94879,0.95517,0.9881,0.6426,1.14917,0.38249,0.00884,0.000812468,0.000812468,0.000812468
45,1416.75,1.03755,0.44121,0.00675,0.95379,0.94081,0.98755,0.63113,1.18549,0.38353,0.00895,0.000804277,0.000804277,0.000804277
46,1447.39,1.04187,0.42605,0.00655,0.96352,0.95036,0.98848,0.65514,1.14157,0.37156,0.0084,0.000795954,0.000795954,0.000795954
47,1478.23,1.05572,0.43233,0.00607,0.96232,0.95089,0.98997,0.62706,1.23737,0.39371,0.00918,0.000787503,0.000787503,0.000787503
48,1508.8,0.99855,0.42923,0.00607,0.95876,0.9544,0.98886,0.66217,1.05168,0.36821,0.00736,0.000778929,0.000778929,0.000778929
49,1539.41,1.04552,0.41983,0.00621,0.95803,0.95885,0.98868,0.64644,1.19676,0.38171,0.00942,0.000770234,0.000770234,0.000770234
50,1570.09,1.05939,0.45885,0.0067,0.9655,0.94845,0.98933,0.69556,1.00776,0.33441,0.00751,0.000761423,0.000761423,0.000761423
51,1600.73,1.05277,0.41595,0.006,0.96164,0.95737,0.98999,0.60444,1.30754,0.4031,0.00958,0.0007525,0.0007525,0.0007525
52,1631.67,1.02172,0.40266,0.00629,0.95143,0.97236,0.98888,0.66499,1.09129,0.36109,0.00789,0.000743468,0.000743468,0.000743468
53,1662.42,1.01563,0.39807,0.00619,0.9582,0.96086,0.98925,0.65836,1.14108,0.37621,0.00865,0.000734332,0.000734332,0.000734332
54,1692.6,1.02374,0.41365,0.00633,0.96587,0.95907,0.9899,0.61605,1.28648,0.39357,0.00971,0.000725094,0.000725094,0.000725094
55,1719.09,0.96686,0.37901,0.00554,0.96556,0.95465,0.98995,0.67692,1.08017,0.33619,0.00806,0.000715761,0.000715761,0.000715761
56,1745.56,0.9901,0.40972,0.00585,0.97264,0.95019,0.99053,0.65591,1.14196,0.34514,0.00858,0.000706335,0.000706335,0.000706335
57,1773.98,1.00632,0.3944,0.00668,0.9633,0.96463,0.99078,0.69144,1.00001,0.31487,0.00732,0.00069682,0.00069682,0.00069682
58,1805.03,0.99183,0.38212,0.00601,0.97183,0.95656,0.99019,0.6551,1.12875,0.36118,0.00828,0.000687222,0.000687222,0.000687222
59,1835.97,0.97217,0.39003,0.00533,0.96804,0.9642,0.99032,0.66181,1.09706,0.34352,0.00814,0.000677543,0.000677543,0.000677543
60,1866.74,0.96389,0.36757,0.00542,0.97291,0.95983,0.99082,0.67462,1.08141,0.34311,0.00816,0.000667789,0.000667789,0.000667789
61,1897.05,0.97671,0.37738,0.00589,0.97178,0.95561,0.99074,0.67909,1.04016,0.33858,0.00766,0.000657963,0.000657963,0.000657963
62,1927.91,0.97045,0.38826,0.00581,0.96897,0.96229,0.99102,0.68675,0.99515,0.34359,0.00738,0.000648071,0.000648071,0.000648071
63,1955.34,0.99473,0.40146,0.00631,0.96702,0.96563,0.99073,0.71626,0.9443,0.31464,0.0071,0.000638115,0.000638115,0.000638115
64,1986.35,0.95536,0.39395,0.00586,0.9673,0.96021,0.99081,0.7128,0.96267,0.32242,0.00715,0.000628101,0.000628101,0.000628101
65,2016.81,0.95302,0.37664,0.00568,0.97012,0.96083,0.99051,0.71117,0.96022,0.30909,0.00721,0.000618034,0.000618034,0.000618034
66,2046.91,0.93435,0.37148,0.00579,0.96181,0.96165,0.98999,0.70427,0.95159,0.31591,0.00717,0.000607916,0.000607916,0.000607916
67,2077.31,0.93743,0.38462,0.00534,0.96759,0.95479,0.99052,0.66949,1.0396,0.33809,0.00785,0.000597754,0.000597754,0.000597754
68,2107.3,0.91548,0.38565,0.00598,0.97115,0.96325,0.99139,0.69368,0.95169,0.30786,0.00679,0.000587551,0.000587551,0.000587551
69,2137.71,0.96262,0.40895,0.00574,0.97101,0.95943,0.99081,0.68372,1.01874,0.31484,0.00733,0.000577311,0.000577311,0.000577311
70,2167.89,0.93514,0.37955,0.00529,0.9675,0.9661,0.99114,0.71849,0.92138,0.30527,0.00676,0.00056704,0.00056704,0.00056704
71,2198.37,0.94061,0.37676,0.00557,0.96622,0.96938,0.9918,0.66686,1.03482,0.34276,0.00729,0.000556742,0.000556742,0.000556742
72,2228.91,0.94445,0.3798,0.0054,0.97874,0.96709,0.99261,0.65964,1.01169,0.31991,0.00708,0.000546421,0.000546421,0.000546421
73,2259.38,0.98445,0.39781,0.00634,0.9755,0.9685,0.99242,0.68115,0.97596,0.31741,0.00676,0.000536081,0.000536081,0.000536081
74,2289.73,0.90517,0.36891,0.00488,0.97355,0.96648,0.9922,0.68739,1.05301,0.31649,0.00752,0.000525728,0.000525728,0.000525728
75,2319.88,0.94353,0.35964,0.00488,0.96989,0.96181,0.99194,0.71926,0.96158,0.30804,0.00713,0.000515366,0.000515366,0.000515366
76,2349.53,0.89346,0.35805,0.00507,0.97435,0.96611,0.99203,0.70712,0.9718,0.32809,0.00719,0.000505,0.000505,0.000505
77,2380,0.91082,0.36276,0.00536,0.97691,0.96611,0.99244,0.71832,0.92466,0.30541,0.00673,0.000494634,0.000494634,0.000494634
78,2410.66,0.87169,0.34516,0.00491,0.97229,0.97154,0.99217,0.70458,0.97526,0.31546,0.00713,0.000484272,0.000484272,0.000484272
79,2440.35,0.90082,0.36084,0.00562,0.97203,0.97422,0.99265,0.72796,0.88515,0.28784,0.00636,0.000473919,0.000473919,0.000473919
80,2471.04,0.9032,0.34765,0.00479,0.97011,0.96993,0.99217,0.71671,0.91724,0.29585,0.00665,0.000463579,0.000463579,0.000463579
81,2501.46,0.88382,0.35535,0.00494,0.97213,0.96578,0.99214,0.6716,1.06351,0.33948,0.00802,0.000453258,0.000453258,0.000453258
82,2532.42,0.88542,0.34999,0.00537,0.96679,0.97184,0.99261,0.69518,0.98165,0.30951,0.00734,0.00044296,0.00044296,0.00044296
83,2562.62,0.88345,0.3101,0.0048,0.97577,0.96132,0.99202,0.6951,0.99292,0.32312,0.00759,0.000432689,0.000432689,0.000432689
84,2593.23,0.89712,0.33887,0.00503,0.96891,0.96678,0.99197,0.6652,1.08688,0.33337,0.00774,0.000422449,0.000422449,0.000422449
85,2623.24,0.89732,0.3484,0.00535,0.97038,0.96962,0.99189,0.67967,1.01587,0.32389,0.00706,0.000412246,0.000412246,0.000412246
86,2653.86,0.876,0.36514,0.00506,0.97202,0.9617,0.99194,0.72032,0.86983,0.30039,0.00595,0.000402084,0.000402084,0.000402084
87,2683.87,0.85678,0.32906,0.00513,0.97019,0.96307,0.99172,0.71388,0.92811,0.34128,0.00694,0.000391966,0.000391966,0.000391966
88,2714.68,0.86534,0.34193,0.00498,0.96453,0.97337,0.99243,0.68392,1.07742,0.38213,0.00829,0.000381899,0.000381899,0.000381899
89,2744.1,0.83453,0.32343,0.00505,0.96859,0.97142,0.9925,0.71338,0.91052,0.3164,0.00628,0.000371885,0.000371885,0.000371885
90,2774.36,0.84201,0.32348,0.00525,0.96501,0.97413,0.99244,0.71613,0.89645,0.29264,0.00615,0.000361929,0.000361929,0.000361929
91,2805.06,0.8375,0.33206,0.00491,0.96943,0.97232,0.99259,0.69311,1.04244,0.31074,0.00743,0.000352037,0.000352037,0.000352037
92,2835.12,0.83821,0.32576,0.00472,0.97511,0.96563,0.99297,0.70654,1.02416,0.30203,0.00751,0.000342211,0.000342211,0.000342211
93,2864.97,0.85313,0.31403,0.00427,0.97407,0.96837,0.99304,0.71809,0.92053,0.28685,0.00637,0.000332457,0.000332457,0.000332457
94,2894.17,0.84908,0.32989,0.00486,0.96615,0.96993,0.9928,0.67346,1.04899,0.31669,0.00711,0.000322778,0.000322778,0.000322778
95,2924.01,0.84752,0.32286,0.00472,0.97203,0.96897,0.9931,0.67622,1.01079,0.30747,0.00696,0.00031318,0.00031318,0.00031318
96,2953.84,0.86985,0.32684,0.00452,0.972,0.97769,0.9932,0.72495,0.89424,0.27191,0.00638,0.000303665,0.000303665,0.000303665
97,2984.21,0.85194,0.32777,0.00476,0.97925,0.96842,0.99293,0.72693,0.92444,0.28301,0.00655,0.000294239,0.000294239,0.000294239
98,3013.85,0.84254,0.33278,0.00486,0.97475,0.97646,0.99299,0.6997,1.0251,0.30135,0.0072,0.000284906,0.000284906,0.000284906
99,3044.4,0.84676,0.33073,0.00524,0.98356,0.97107,0.99329,0.70324,0.93443,0.27994,0.00641,0.000275668,0.000275668,0.000275668
100,3073.57,0.81793,0.32066,0.00455,0.97991,0.97279,0.99329,0.72068,0.86192,0.26779,0.00581,0.000266532,0.000266532,0.000266532
101,3103.78,0.82493,0.3248,0.0047,0.97056,0.97557,0.99294,0.71075,0.90176,0.28784,0.00642,0.0002575,0.0002575,0.0002575
102,3133.67,0.83532,0.33869,0.00465,0.96891,0.98187,0.99336,0.69032,0.99743,0.31161,0.00729,0.000248577,0.000248577,0.000248577
103,3163.55,0.81943,0.31868,0.00456,0.97742,0.97088,0.99324,0.71197,0.9116,0.29824,0.00637,0.000239766,0.000239766,0.000239766
104,3193.9,0.80869,0.31546,0.00412,0.97565,0.9752,0.99316,0.72611,0.8548,0.2881,0.00586,0.000231071,0.000231071,0.000231071
105,3224,0.85382,0.34183,0.00427,0.97883,0.97757,0.99338,0.70749,0.93036,0.30563,0.00635,0.000222497,0.000222497,0.000222497
106,3254.28,0.81368,0.30372,0.00482,0.97597,0.97518,0.99334,0.69711,0.98108,0.31086,0.00678,0.000214046,0.000214046,0.000214046
107,3284.21,0.83016,0.33459,0.0047,0.98028,0.97308,0.99334,0.71527,0.92058,0.29747,0.00646,0.000205723,0.000205723,0.000205723
108,3314.09,0.80502,0.30746,0.00446,0.97889,0.97373,0.99349,0.73049,0.88536,0.28413,0.00648,0.000197532,0.000197532,0.000197532
109,3344.1,0.81096,0.31669,0.00458,0.96532,0.98186,0.99333,0.73091,0.882,0.28244,0.00652,0.000189475,0.000189475,0.000189475
110,3374.84,0.78572,0.30694,0.00421,0.97136,0.979,0.99326,0.72687,0.88789,0.28105,0.00653,0.000181557,0.000181557,0.000181557
111,3404.59,0.81418,0.31231,0.00447,0.97149,0.97583,0.99318,0.73461,0.84317,0.2736,0.00609,0.00017378,0.00017378,0.00017378
112,3434.88,0.78987,0.30379,0.00436,0.96836,0.979,0.99321,0.75034,0.79153,0.25715,0.00576,0.000166149,0.000166149,0.000166149
113,3464.57,0.79932,0.29633,0.00444,0.97986,0.97553,0.9937,0.74806,0.80764,0.25282,0.0058,0.000158667,0.000158667,0.000158667
114,3494.67,0.81034,0.32612,0.00441,0.98069,0.96959,0.99345,0.74132,0.84516,0.26005,0.00611,0.000151336,0.000151336,0.000151336
115,3524.75,0.79543,0.30865,0.00475,0.97707,0.97613,0.99379,0.73293,0.88316,0.26433,0.00634,0.000144161,0.000144161,0.000144161
116,3555,0.76776,0.29708,0.00467,0.97813,0.97613,0.99367,0.73222,0.8813,0.26861,0.0062,0.000137143,0.000137143,0.000137143
117,3585,0.79077,0.32004,0.00482,0.98254,0.97518,0.99376,0.73233,0.86971,0.2676,0.00604,0.000130287,0.000130287,0.000130287
118,3615.26,0.77575,0.29419,0.00436,0.9831,0.97166,0.99363,0.7358,0.83418,0.25818,0.0058,0.000123596,0.000123596,0.000123596
119,3645.64,0.78882,0.30924,0.00438,0.97868,0.97279,0.99347,0.72709,0.83739,0.26075,0.00575,0.000117072,0.000117072,0.000117072
120,3675.76,0.79212,0.32593,0.00445,0.97701,0.97354,0.99344,0.72157,0.86016,0.26261,0.00601,0.000110718,0.000110718,0.000110718
121,3706.01,0.78391,0.31779,0.00401,0.97697,0.97196,0.9935,0.72303,0.85414,0.25642,0.00597,0.000104537,0.000104537,0.000104537
122,3736.01,0.78419,0.30184,0.00443,0.97246,0.97759,0.99349,0.73264,0.82732,0.24933,0.0058,9.85311e-05,9.85311e-05,9.85311e-05
123,3766.22,0.75269,0.28507,0.00411,0.97728,0.97279,0.99344,0.73959,0.8067,0.24601,0.0056,9.2704e-05,9.2704e-05,9.2704e-05
124,3796.27,0.78305,0.28824,0.00463,0.97764,0.97422,0.99347,0.74696,0.7959,0.24956,0.00554,8.70577e-05,8.70577e-05,8.70577e-05
125,3826.61,0.75324,0.2779,0.00441,0.98362,0.97279,0.99357,0.75092,0.78737,0.24235,0.00551,8.15947e-05,8.15947e-05,8.15947e-05
126,3856.38,0.7752,0.30407,0.00477,0.98088,0.97518,0.99363,0.74923,0.79753,0.24789,0.00559,7.63174e-05,7.63174e-05,7.63174e-05
127,3886.46,0.74022,0.28763,0.00416,0.97754,0.9765,0.99349,0.74533,0.81084,0.25354,0.00564,7.12282e-05,7.12282e-05,7.12282e-05
128,3916.97,0.78159,0.30971,0.00483,0.98216,0.97226,0.99354,0.74596,0.80263,0.24769,0.00555,6.63292e-05,6.63292e-05,6.63292e-05
129,3947.43,0.76249,0.28166,0.00395,0.98276,0.97422,0.99359,0.74876,0.79251,0.24983,0.00544,6.16227e-05,6.16227e-05,6.16227e-05
130,3977.75,0.78712,0.30487,0.00483,0.97662,0.98043,0.99362,0.74788,0.78798,0.2427,0.00538,5.71106e-05,5.71106e-05,5.71106e-05
131,4007.95,0.76271,0.29497,0.00383,0.97763,0.97852,0.99361,0.74417,0.79892,0.24896,0.00551,5.2795e-05,5.2795e-05,5.2795e-05
132,4038.51,0.7609,0.28644,0.00386,0.97529,0.97958,0.99361,0.74112,0.81804,0.25415,0.0057,4.86777e-05,4.86777e-05,4.86777e-05
133,4068.84,0.76066,0.28551,0.0043,0.98052,0.97375,0.99366,0.7355,0.83013,0.25692,0.00587,4.47606e-05,4.47606e-05,4.47606e-05
134,4099.36,0.76318,0.29139,0.004,0.97667,0.97947,0.9936,0.73731,0.8362,0.25661,0.00592,4.10454e-05,4.10454e-05,4.10454e-05
135,4129.49,0.75444,0.29847,0.00427,0.97664,0.97805,0.99364,0.74117,0.81082,0.25145,0.00567,3.75337e-05,3.75337e-05,3.75337e-05
136,4159.86,0.7618,0.276,0.00399,0.98002,0.97566,0.99369,0.74294,0.8109,0.25545,0.00564,3.4227e-05,3.4227e-05,3.4227e-05
137,4189.83,0.75136,0.28725,0.00394,0.97986,0.97529,0.99358,0.74219,0.80591,0.25285,0.00555,3.11268e-05,3.11268e-05,3.11268e-05
138,4220.08,0.74228,0.27797,0.0044,0.97747,0.98091,0.9937,0.74706,0.78809,0.25098,0.00545,2.82345e-05,2.82345e-05,2.82345e-05
139,4250.32,0.74865,0.28606,0.00439,0.97764,0.98078,0.99376,0.74944,0.77762,0.24458,0.00538,2.55513e-05,2.55513e-05,2.55513e-05
140,4280.34,0.73927,0.28284,0.00433,0.97683,0.97852,0.99364,0.74935,0.77776,0.24383,0.00539,2.30784e-05,2.30784e-05,2.30784e-05
141,4350.78,0.63938,0.22164,0.00408,0.98086,0.9785,0.99375,0.75018,0.78334,0.26455,0.00541,2.08169e-05,2.08169e-05,2.08169e-05
142,4381.41,0.69697,0.23404,0.00472,0.98408,0.97361,0.99373,0.75103,0.7858,0.27197,0.00545,1.87678e-05,1.87678e-05,1.87678e-05
143,4412.05,0.68826,0.25054,0.00472,0.9842,0.9747,0.99371,0.75054,0.78328,0.2665,0.00542,1.6932e-05,1.6932e-05,1.6932e-05
144,4442.34,0.70313,0.22664,0.00511,0.98125,0.97415,0.99374,0.74986,0.78557,0.26564,0.00542,1.53102e-05,1.53102e-05,1.53102e-05
145,4472.72,0.67501,0.22852,0.00412,0.978,0.97596,0.99367,0.74825,0.79081,0.26978,0.00547,1.39032e-05,1.39032e-05,1.39032e-05
146,4503.41,0.67074,0.23767,0.00431,0.98077,0.97388,0.9937,0.74944,0.78589,0.2637,0.00544,1.27117e-05,1.27117e-05,1.27117e-05
147,4534.25,0.69357,0.23463,0.00493,0.98032,0.97503,0.99368,0.74741,0.7893,0.26399,0.00547,1.1736e-05,1.1736e-05,1.1736e-05
148,4564.77,0.68088,0.24791,0.00483,0.982,0.97709,0.99367,0.74706,0.79466,0.26263,0.00553,1.09768e-05,1.09768e-05,1.09768e-05
149,4594.67,0.69003,0.25461,0.00454,0.97872,0.97757,0.99376,0.7475,0.789,0.25866,0.00549,1.04342e-05,1.04342e-05,1.04342e-05
150,4625.16,0.68213,0.23509,0.00436,0.97942,0.97682,0.9937,0.75102,0.78028,0.26286,0.00542,1.01086e-05,1.01086e-05,1.01086e-05
